Time, DurationAdd, BiFlowsIn, SocketsIn, SocketsOut, FlowsBiMonitored, FlowsBiNotMonitored, BytesBiMonitored, BytesBiNotMonitored, FlowsUniOutMonitored, FlowsUniOutNotMonitored, BytesUniOutMonitored, BytesUniOutNotMonitored, FlowsUniInMonitored, FlowsUniInNotMonitored, BytesUniInMonitored, BytesUniInNotMonitored, FlowsBiNMOutHighInHigh, FlowsBiNMOutHighInLow, FlowsBiNMOutLowInLow, FlowsBiNMOutLowInHigh, BytesBiNMOutHighInHigh, BytesBiNMOutHighInLow, BytesBiNMOutLowInLow, BytesBiNMOutLowInHigh, FlowsUniOutNMOutHighInHigh, FlowsUniOutNMOutHighInLow, FlowsUniOutNMOutLowInLow, FlowsUniOutNMOutLowInHigh, BytesUniOutNMOutHighInHigh, BytesUniOutNMOutHighInLow, BytesUniOutNMOutLowInLow, BytesUniOutNMOutLowInHigh, FlowsUniInNMOutHighInHigh, FlowsUniInNMOutHighInLow, FlowsUniInNMOutLowInLow, FlowsUniInNMOutLowInHigh, BytesUniInNMOutHighInHigh, BytesUniInNMOutHighInLow, BytesUniInNMOutLowInLow, BytesUniInNMOutLowInHigh,
 1288572573, 2, 1826323, 90851, 51682, 75518, 666032, 17517995240, 69988734664, 38034, 421689, 9733688370, 21693020988, 421689, 596069, 3265258089, 6284863097, 170572, 302851, 28535, 125522, 58958678463, 58958678463, 17904580, 3218075382, 157602, 161688, 14519, 67507, 16641023341, 1055853067, 12082614, 3864498435, 80155, 360256, 17085, 53381, 2223520032, 2293872002, 24007015, 525508473,
 1288572874, 2, 1828731, 86458, 57161, 77246, 662962, 14057446670, 58945424742, 36253, 422462, 8342149530, 11100750392, 422462, 599688, 2795991560, 1824318638, 155482, 307251, 23446, 135253, 46080661450, 46080661450, 9306880, 2307825108, 150325, 163913, 13874, 74671, 8200981002, 923634529, 8505946, 1917575111, 73654, 360983, 14349, 58137, 393139919, 874184176, 11061699, 274526361,
 1288573175, 2, 1779954, 93028, 49717, 69549, 623817, 13437854157, 40674755422, 39010, 405250, 8360731672, 19863578655, 405250, 608142, 2169189699, 2681458580, 153585, 283802, 24287, 127208, 33890326068, 33890326068, 11349322, 1908489622, 143474, 158794, 13893, 70316, 15041373168, 882168791, 10615058, 3811258719, 74674, 358339, 14737, 58691, 1496328574, 800754001, 3956511, 43160116,
 1288573477, 3, 1987193, 94869, 58681, 81107, 666941, 14469306004, 66894077294, 38323, 436267, 8630869510, 11559275228, 436267, 730435, 3289820898, 6830771183, 163158, 297381, 28133, 134919, 54645250832, 54645250832, 17222459, 3914213535, 156890, 169828, 14456, 74800, 8362256017, 1041008710, 16920831, 2113684956, 177172, 368524, 17557, 69853, 3084939298, 2244043404, 21866117, 420192262,
 1288573778, 2, 1809865, 90419, 51976, 71784, 662467, 15725244791, 52203980483, 40478, 415711, 8495128189, 19503518753, 415711, 589292, 2845802073, 1876414910, 157010, 313182, 22988, 132564, 41340380076, 41340380076, 9559439, 2962771288, 144412, 167362, 13930, 71895, 14865276848, 937141116, 13656235, 3570043955, 74498, 360919, 14451, 61945, 361034899, 984049489, 21359149, 120715724,
 1288574079, 2, 1808473, 99155, 51891, 73410, 656844, 13950497247, 69288697932, 46949, 416758, 7091792398, 11564068387, 416758, 583825, 2304148936, 2608821019, 151920, 310120, 24567, 130544, 61266398079, 61266398079, 11658932, 1486950028, 144375, 169078, 14049, 70629, 7538124406, 786717536, 13978936, 3120567156, 70798, 362696, 15693, 58947, 1581577888, 530340766, 4330192, 173271196,
 1288574380, 1, 1785417, 94516, 53672, 74871, 635656, 16100190831, 58012995538, 43652, 411986, 8226895843, 17370667270, 411986, 589587, 3314466049, 7020251254, 150841, 285618, 27328, 135447, 48954442191, 48954442191, 15646288, 4899184805, 142573, 164132, 14533, 71825, 12828316043, 944831955, 34252730, 3415907625, 82148, 353094, 17574, 59400, 3358523187, 1889940018, 20184309, 467280735,
 1288574681, 2, 2245413, 90619, 432485, 168376, 647768, 12984813857, 50806192560, 41738, 413212, 6790924173, 10588902293, 413212, 661329, 2271768333, 1562873576, 148579, 296564, 22979, 139088, 37768985168, 37768985168, 8887832, 2973264260, 147881, 158824, 13433, 75290, 7002295886, 682623507, 11641403, 2799282092, 171141, 349920, 15112, 57130, 313164160, 848037899, 22890588, 47594435,
 1288574982, 2, 1932983, 90863, 207672, 112656, 626112, 13079749685, 72950491292, 42835, 407074, 8161523685, 14682916964, 407074, 601262, 1922589361, 3091425794, 148874, 280506, 24963, 135234, 67848611226, 67848611226, 12255978, 1674298258, 145680, 157683, 14213, 71571, 11245650536, 783145161, 27098729, 2543726180, 74740, 379385, 15123, 59448, 1183990361, 1454643670, 5420246, 116582974,
 1288575283, 2, 1859564, 88110, 51398, 69204, 649340, 15393705795, 52785307977, 41106, 425150, 8448696983, 11620390055, 425150, 645566, 2087138621, 5059312716, 149985, 291442, 29607, 136345, 41485368575, 41485368575, 15261094, 3777399430, 150880, 160074, 14776, 76089, 6987596644, 660012482, 10018884, 3858300016, 74706, 404787, 17085, 66278, 2440685500, 957735783, 15043957, 476824946,
 1288575584, 2, 1963481, 89620, 60474, 72077, 691007, 13068684245, 44327859056, 42650, 447077, 9101169287, 13976854340, 447077, 675303, 2765395295, 1585854993, 147192, 324928, 23422, 157723, 28330995076, 28330995076, 10313937, 2474618071, 149049, 163369, 13555, 102988, 10594450657, 853163299, 27345686, 2439700097, 72957, 451537, 14595, 63463, 204211296, 837503702, 24158183, 77485667,
 1288575885, 3, 1905861, 86041, 61498, 69933, 645654, 12765495985, 45347867164, 40251, 443385, 7384647088, 10962007034, 443385, 669283, 2402961279, 3241440920, 148893, 291813, 24667, 140911, 33790625426, 33790625426, 12421946, 2161666941, 141603, 164702, 14176, 104844, 6579170914, 536222462, 10473518, 3668853724, 74294, 449907, 15319, 66366, 1029281324, 1714190947, 5935516, 90039467,
 1288576186, 1, 1884053, 85010, 53726, 69264, 656879, 12305070806, 40778400609, 39029, 419836, 7793615966, 13710563396, 419836, 668602, 2328432833, 4755436401, 155774, 308699, 26390, 129972, 32830187042, 32830187042, 14125859, 3619110613, 144552, 169303, 14057, 73186, 10576912474, 803293618, 27854006, 2247543789, 173080, 357614, 16042, 57678, 2001121725, 1005632139, 14011867, 595088279,
 1288576487, 2, 1773523, 80420, 48971, 66845, 651015, 11332873974, 48487199197, 34988, 426574, 8318641889, 12596771404, 426574, 566543, 2236519593, 1691200233, 153643, 300521, 23701, 133902, 35102398596, 35102398596, 10517403, 4730672926, 145600, 168748, 13781, 80358, 6990067602, 604695095, 10710228, 4844033835, 67468, 353121, 14086, 60182, 469697900, 579023733, 30442804, 62097759,
 1288576788, 1, 1753149, 84632, 47790, 69525, 633161, 12170908788, 58429361892, 35414, 403982, 7510007799, 15303838109, 403982, 583584, 2606972054, 3148667279, 146727, 303649, 24710, 122348, 47905147366, 47905147366, 12900429, 1948125448, 135702, 160760, 14087, 76623, 11500218621, 864670116, 32661404, 2847882313, 67348, 360309, 14352, 58138, 810275011, 1722150225, 10333114, 172723903,
 1288577089, 2, 1889056, 100271, 45323, 76610, 664965, 14675780747, 66355051081, 39135, 425058, 8374488719, 11155864069, 425058, 653439, 1643310785, 5242439034, 153324, 318581, 26505, 127821, 53882417859, 53882417859, 13906164, 3288102208, 151116, 163224, 14515, 77745, 6565330721, 559334447, 10993527, 3872017755, 75405, 423635, 15990, 59406, 2667309549, 821650062, 9733020, 603638131,
 1288577390, 2, 1713065, 85975, 44993, 69312, 607516, 10036598076, 34875469814, 37289, 398982, 7109811039, 12980175501, 398982, 575599, 1988483322, 1679939208, 148245, 278438, 24134, 119395, 25901761303, 25901761303, 11325206, 2859251855, 145404, 154264, 13671, 68350, 9880361073, 789613453, 23876849, 2246313224, 75462, 350465, 14424, 62009, 466990847, 686834127, 12049289, 114731156,
 1288577691, 2, 1732688, 80753, 45315, 66887, 621618, 11980005347, 28686834846, 35050, 398617, 6421912378, 10195345793, 398617, 586385, 2582146292, 2443731945, 143224, 290787, 24550, 124566, 20114022063, 20114022063, 14286977, 1572838097, 141186, 156417, 13968, 69537, 5980067750, 584617961, 7783828, 3442469404, 71970, 355933, 14518, 58714, 780367619, 1188245528, 15322531, 96532856,
 1288577992, 2, 1869623, 87094, 81198, 79436, 662029, 9358642075, 28881417703, 36299, 413837, 6367209733, 12722516178, 413837, 625465, 1090100400, 4611232311, 142721, 317799, 25848, 139251, 22307341874, 22307341874, 13702473, 2851734075, 147218, 160512, 14585, 73538, 9391150928, 758492972, 25305212, 2455582838, 89528, 376271, 15841, 79791, 2267208831, 813197993, 11431013, 571110687,
 1288578293, 2, 1853711, 82840, 168016, 97367, 634625, 9175991050, 39925785710, 37874, 411659, 6633296020, 9883615170, 411659, 556571, 2139681751, 1557574799, 142099, 299490, 24222, 131560, 26886480244, 26886480244, 11653996, 3810888831, 142664, 159100, 14225, 77874, 5733013095, 601791718, 10314272, 3384210715, 70407, 355170, 14540, 54394, 476637739, 692137250, 7515080, 69340331,
 1288578594, 2, 1810819, 79391, 159187, 92067, 610198, 9899671244, 38173554930, 35136, 398179, 5866726937, 11943888838, 398179, 563864, 1726225633, 2772963811, 139582, 283131, 24990, 126553, 28524357554, 28524357554, 12161516, 2445861410, 137027, 152935, 13848, 77585, 8295659776, 677512123, 10936993, 2919510815, 70829, 357123, 14456, 53774, 788770650, 1410706445, 16388605, 147799549,
 1288578895, 1, 1904696, 80539, 158795, 93877, 638178, 10999221806, 36128078198, 36197, 440724, 5071191734, 9882503422, 440724, 586460, 1688503116, 3706288792, 138070, 284195, 26788, 150443, 27248875070, 27248875070, 12599712, 2093540957, 142929, 154907, 14775, 104949, 6188632561, 634197089, 10074907, 2944817362, 72137, 356077, 15696, 58830, 1635386666, 710755846, 10382757, 503373048,
 1288579196, 2, 1901207, 77343, 82437, 72800, 604014, 8572790667, 67744418595, 35330, 413438, 6798759713, 12202224192, 413438, 723975, 1530924327, 1449859629, 140453, 274915, 24054, 128542, 59249227030, 59249227030, 15384824, 2493119982, 142649, 153369, 13926, 85897, 8436772269, 558579571, 12227238, 3098519125, 201833, 367606, 14855, 55502, 361968316, 601165335, 10454072, 85649873,
 1288579497, 2, 1735713, 79945, 39813, 62639, 622641, 10147996810, 50077774264, 34512, 391952, 4790958357, 7462994581, 391952, 601362, 2693925265, 3764767255, 141408, 302855, 24416, 117311, 41980304492, 41980304492, 12105917, 2521296131, 137925, 155820, 13672, 66675, 4396562320, 513327013, 8672331, 2496539149, 77713, 365682, 14455, 54041, 1415118593, 1534512429, 14714818, 202061313,
 1288579798, 2, 1746343, 79717, 42552, 63329, 632585, 9299565148, 38584181258, 36403, 407176, 6272410261, 11407054235, 407176, 584313, 1112513812, 2385148558, 146132, 307158, 25024, 118911, 30071452545, 30071452545, 12771894, 1702324219, 147947, 161018, 13991, 67497, 6724782694, 644235217, 11499557, 3871934889, 78951, 351849, 15564, 54825, 696890238, 707156509, 10397430, 442524423,
 1288580099, 2, 1741584, 79835, 37503, 59116, 643864, 10732402488, 31344247126, 33883, 409817, 5394151682, 8477355006, 409817, 570565, 2513963155, 1485958726, 142332, 314966, 24107, 126149, 22298270546, 22298270546, 12333087, 3305418253, 145854, 158474, 14307, 74035, 5962881864, 454800789, 11187273, 1993655127, 72450, 345115, 15092, 55305, 404339696, 451962445, 14591745, 124712145,
 1288580400, 2, 1901937, 84406, 125342, 87556, 609750, 8401011406, 23330102621, 34919, 398317, 5914752659, 10067014826, 398317, 684122, 1590880098, 4377531232, 140788, 283867, 24686, 125262, 16101512739, 16101512739, 11819590, 3022586471, 134970, 158951, 14040, 73603, 5073947126, 460757152, 9280405, 4392824146, 204857, 342416, 14201, 54189, 2089580125, 1455134358, 14256601, 173415480,
 1288580701, 1, 1906855, 84633, 74522, 75442, 686815, 9487292950, 39749129690, 35407, 451117, 6638729854, 11690817913, 451117, 609768, 1735994253, 2071602623, 142438, 301699, 25570, 180218, 28923603879, 28923603879, 12108125, 1819403633, 143965, 167546, 14044, 107233, 8193042387, 780449866, 11983915, 2659226331, 69035, 342780, 15540, 111766, 367859756, 620048224, 8691390, 427624645,
 1288581002, 1, 1788408, 82664, 37981, 61022, 669483, 8997550272, 45372717896, 33031, 430239, 5694059737, 9571600876, 430239, 568041, 1037519783, 1729009081, 143348, 303005, 24178, 164562, 36141190564, 36141190564, 12626402, 4145361161, 137116, 155469, 14237, 106662, 5009616166, 463391085, 10910971, 3963258836, 72400, 354860, 15164, 63999, 618188623, 669142735, 16804805, 40109099,
 1288581303, 2, 1769491, 78067, 79423, 73349, 638980, 8199062002, 48392203693, 33306, 410877, 5683430211, 10777398048, 410877, 562145, 905517616, 4675403731, 138595, 292699, 24278, 147501, 41121843555, 41121843555, 11252599, 2614524406, 134594, 158447, 14348, 86302, 7937382889, 673596400, 9572784, 2130541500, 67180, 363446, 15574, 53481, 2368322745, 1445127793, 20052601, 166347859,
 1288581604, 2, 1765224, 77387, 63598, 69715, 637426, 8853927985, 29666963050, 32428, 417358, 6010660333, 8981351945, 417358, 569455, 1008640636, 2243782420, 134261, 291717, 24753, 152379, 15760798158, 15760798158, 11627702, 2016876598, 133814, 159938, 13916, 92338, 4993485527, 507120555, 10156481, 3338002210, 68129, 370587, 14978, 53400, 391659083, 755449867, 9631875, 436879501,
 1288581905, 2, 1702037, 81924, 59854, 67509, 619151, 6538065829, 35432844003, 33459, 408280, 6667809924, 10219824247, 408280, 532828, 767915066, 1938294784, 135360, 277517, 24807, 146236, 28043088986, 28043088986, 14386676, 4052582689, 130065, 161508, 14369, 84992, 7290272075, 727386362, 9732265, 2169039404, 69079, 336582, 14947, 51721, 437565101, 1038372766, 16631112, 31093240,
 1288582206, 1, 1776481, 82808, 64112, 68859, 665304, 9992110682, 63725289678, 33428, 424096, 4668608379, 8592949275, 424096, 540161, 1166100296, 3543911668, 137114, 309314, 24185, 161159, 52429006053, 52429006053, 12269531, 1670082225, 135992, 160115, 14225, 97384, 5333752762, 511450981, 10290396, 2564239491, 68207, 346364, 14137, 51987, 1646521440, 1081034798, 15420001, 123971704,
 1288582507, 2, 1836130, 79118, 66559, 68875, 676314, 9088217389, 54528446921, 32088, 472553, 6859629441, 11647511294, 472553, 541586, 1315909473, 3690078168, 135899, 283840, 25223, 195302, 45532194498, 45532194498, 13496151, 2292388018, 137438, 159924, 14388, 138009, 8089940180, 796977372, 10051468, 2691299303, 69596, 330997, 15393, 58411, 1652087113, 765468872, 10988144, 449818207,
 1288582808, 2, 1827699, 81662, 67460, 69105, 651095, 8224839285, 49733611615, 33625, 430303, 4731479413, 7813787472, 430303, 597179, 1088611165, 1785096139, 135356, 301610, 24678, 155550, 39819075926, 39819075926, 14288695, 3105700802, 131718, 164907, 13797, 102626, 4923581600, 445276174, 9827039, 2276654204, 67747, 396044, 15332, 54939, 468018721, 817784447, 20716501, 58444975,
 1288583109, 2, 1659724, 81723, 45561, 62956, 607876, 8070410281, 30031493889, 34208, 394578, 5053867345, 11398726201, 394578, 529986, 1310089124, 3177123670, 136811, 286599, 23958, 125923, 22580394235, 22580394235, 11752779, 1513778998, 132793, 158432, 14020, 72201, 6980829517, 730469925, 11621880, 3649950226, 67738, 336243, 14403, 50106, 991041183, 1331006983, 15585757, 141349864,
 1288583410, 2, 1687462, 80585, 48937, 64257, 621675, 8255178357, 47405738260, 36115, 398569, 5095739430, 6304837833, 398569, 537696, 516603430, 3501790831, 142118, 295070, 25177, 126544, 38655033316, 38655033316, 13084530, 2433060297, 130118, 168610, 14387, 69594, 4172874188, 352751438, 9307222, 1637935302, 66024, 342613, 15677, 51713, 1615896397, 660939070, 9734539, 407964925,
 1288583711, 2, 1711389, 78284, 49238, 64954, 618951, 7259073889, 34545357618, 34340, 399320, 5245304958, 11420660977, 399320, 565596, 1487652689, 1452890865, 137886, 288780, 24279, 134192, 25150287593, 25150287593, 12986477, 2883569483, 129377, 167610, 13599, 72596, 6802573772, 629235411, 12402716, 3933264027, 65663, 364481, 15307, 59426, 527060709, 523414496, 17919058, 21873338,
 1288584012, 2, 1812479, 80034, 43060, 61662, 649501, 9429414584, 41266018618, 33510, 402962, 6051097613, 5724002786, 402962, 636922, 1362607947, 3108333318, 139715, 306586, 24784, 145770, 32020772018, 32020772018, 13476539, 2935957318, 131428, 163789, 14337, 76669, 3830484202, 433627070, 8714623, 1306441120, 66652, 431973, 14400, 63268, 880752573, 1462574835, 13935127, 91789516,
 1288584313, 2, 2020439, 81657, 91688, 74867, 708792, 8989892359, 38415047764, 34403, 450621, 4798935641, 10862300386, 450621, 687681, 839985095, 3708068910, 145504, 326377, 25790, 177295, 29322212522, 29322212522, 14641841, 3594737608, 151588, 182573, 14301, 83852, 6304848139, 541225811, 10745693, 3967934748, 133174, 392236, 15594, 77282, 1567020993, 856419295, 11309372, 459297243,
 1288584614, 1, 1915855, 78810, 151958, 88633, 675937, 7123038333, 34933191918, 33495, 416646, 6972638941, 6195265221, 416646, 592504, 1099674151, 1710372588, 145615, 318226, 25312, 155106, 22841573329, 22841573329, 13928770, 2750621660, 136182, 171540, 13593, 78595, 4277154070, 446877501, 9588959, 1331298630, 67047, 375338, 14650, 66581, 462097633, 784459824, 17561470, 68812414,
 1288584915, 2, 1994612, 78738, 141035, 84877, 621713, 11284446193, 50423829887, 33458, 389260, 4485176966, 10835444265, 389260, 763866, 837030605, 2809109777, 137939, 303274, 24765, 122763, 41707681382, 41707681382, 16142861, 3287909008, 129947, 163457, 14033, 64743, 5792889848, 924700796, 8913824, 4071044904, 66390, 555534, 14350, 57550, 793125500, 1259090496, 11860589, 61747405,
 1288585216, 2, 1799467, 78279, 144081, 89384, 579908, 7993172577, 64583136438, 33071, 383326, 6695707672, 5550073568, 383326, 613873, 1522213820, 3517189548, 136029, 270551, 25607, 115597, 52375788132, 52375788132, 14016437, 4568566990, 128984, 160840, 14227, 62652, 4026369814, 388929482, 11526966, 1062700931, 68567, 382261, 15186, 57984, 1492080071, 877094193, 14773515, 388616859,
 1288585517, 1, 1839964, 79565, 135046, 85600, 585882, 9118477269, 34857625827, 33137, 396491, 4247701718, 10060090339, 396491, 642980, 788479990, 1902485783, 133032, 270396, 24571, 125933, 23988792387, 23988792387, 11115077, 5033251132, 130132, 163064, 13900, 73195, 5277841996, 512224107, 10069443, 4216496804, 115699, 366816, 14922, 57411, 479411151, 900185160, 13774701, 29434215,
 1288585818, 2, 1699641, 82580, 51639, 66988, 588192, 9572661078, 29935866718, 36123, 397831, 6676646777, 5537364092, 397831, 579399, 854552241, 2958787685, 134897, 275927, 24406, 120763, 19504237114, 19504237114, 13823030, 3521188894, 135621, 163651, 13420, 67888, 4182163942, 527222393, 9559387, 786285579, 71693, 357113, 14824, 61003, 818703938, 1378656090, 15439686, 41887398,
 1288586120, 2, 1800946, 85639, 45501, 58604, 607226, 7168851208, 26204691824, 37326, 428275, 5575367767, 10844577327, 428275, 634305, 1342371762, 3639732580, 130306, 276535, 25773, 141019, 14384648354, 14384648354, 14331810, 4211097232, 139203, 161110, 14356, 91007, 5136664262, 564178912, 9682978, 5091859582, 130866, 356341, 15692, 64810, 1626735445, 842088752, 10322505, 325350600,
 1288586421, 2, 1746736, 83195, 48710, 62293, 611641, 11140240520, 41049962068, 36124, 417369, 5211175446, 5330369006, 417369, 585821, 992228970, 2113048792, 128846, 303898, 25032, 122569, 34013063132, 34013063132, 12752784, 4456572927, 133302, 160692, 13996, 92267, 3973649006, 493997856, 8405618, 832778524, 83269, 361388, 15695, 63211, 476959274, 1002811906, 15655005, 154853658,
 1288586722, 1, 1679834, 86914, 47140, 63673, 587481, 7377515280, 47169901232, 39194, 393370, 5556666663, 10140488122, 393370, 564929, 880991082, 2869068671, 131683, 287196, 24673, 112710, 32798970819, 32798970819, 12189349, 2657554027, 132357, 162335, 13568, 68778, 5222177060, 565240507, 9923740, 4314203913, 71255, 360435, 15035, 58769, 836499721, 1284651981, 11662940, 90044150,
 1288587023, 1, 1746361, 86282, 44294, 61578, 593362, 8569268743, 34232300925, 38558, 401912, 6140189593, 5200507460, 401912, 620511, 1061502300, 3290845353, 137122, 280037, 25421, 119421, 26238967680, 26238967680, 15950372, 4017864132, 131088, 172992, 14458, 67149, 3365387548, 464007595, 10712325, 1337835077, 119616, 355729, 15265, 61573, 1480098440, 742158463, 11721683, 274153791,
 1288587324, 2, 1698464, 89371, 50075, 69712, 590073, 7466759091, 54434141026, 40292, 398088, 4664761005, 10080022358, 398088, 570857, 733769008, 1564109129, 131765, 279215, 24581, 124789, 46210743321, 46210743321, 12803937, 3819002801, 128835, 169242, 13983, 70060, 5189429781, 616897483, 9858459, 4230731254, 69536, 354804, 15091, 61794, 437586547, 592392419, 14700429, 98753243,
 1288587625, 1, 1744192, 92472, 44001, 66862, 610065, 8001486081, 34340531907, 40603, 414940, 4948182547, 5272362642, 414940, 582714, 1047513545, 3600358276, 135159, 291959, 25551, 127049, 21359245502, 21359245502, 15748398, 2111541402, 135626, 174383, 14250, 74743, 3141237758, 383285483, 10748152, 1712216623, 72170, 360170, 15547, 64308, 890941537, 2021511264, 8904743, 28523452,
 1288587926, 1, 1859055, 93760, 50740, 73828, 664663, 10824589905, 30237084984, 39646, 449698, 4761422170, 10244217299, 449698, 600194, 1167187533, 3419859434, 143302, 322296, 25392, 142616, 18855409068, 18855409068, 16473433, 4955213429, 142341, 194870, 13939, 81498, 5859503139, 571915160, 13827689, 3756645044, 77656, 368647, 15838, 70511, 1488639548, 857807509, 12907608, 383014440,
 1288588227, 2, 1745456, 91618, 48108, 69916, 613827, 7576234081, 40289346358, 38007, 418918, 4706710117, 6676021946, 418918, 572985, 1101306723, 1957893685, 136336, 299572, 24733, 123326, 33704586075, 33704586075, 12549112, 2239895540, 133523, 184001, 14075, 71249, 3737980447, 371686698, 11431304, 2430666299, 70559, 357923, 15114, 67164, 401334612, 1011771160, 15223204, 91835885,
 1288588528, 1, 1706423, 91446, 51566, 71855, 586175, 10668868807, 47381807644, 39393, 410830, 5057723328, 9479207143, 410830, 566406, 1841402081, 2930138934, 131903, 281757, 25681, 116619, 33002891490, 33002891490, 13250440, 4070004643, 131659, 176996, 14564, 70728, 5373380205, 617008017, 13450216, 3432635854, 68893, 351447, 16188, 67151, 1003914373, 1305403995, 8906761, 31659931,
 1288588829, 2, 1755235, 94789, 56414, 76794, 620548, 10345773771, 24265947866, 38945, 402625, 5221354118, 7650131841, 402625, 580859, 1588102339, 3695510308, 129908, 322703, 25873, 112284, 19088189614, 19088189614, 14597975, 1011180820, 130727, 176241, 13715, 65239, 4129030629, 439064534, 11077478, 3027442745, 71071, 360371, 16414, 70287, 1545397662, 906148464, 12212296, 503814835,
